ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
286, HSA_FA_EU_DE-BE FL , HSA_FA_EU_DE , BE FL , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
287, HSA_HH_EU_BE-DE FL , HSA_HH_EU_BE , DE FL , 284 ," 4,332 ",                       -   , -   , -   , 7 , 41 , 955 ," 4,706 "," 12,903 "," 16,759 "," 33,484 "," 58,167 "," 178,863 ",                       -   , 1 , 5 , 17 , 43 , 961 ," 4,734 "," 12,971 "," 16,843 "," 33,627 "," 58,367 "," 179,337 "
288, HSA_HH_EU_NL-EUxGB WS CVV (FlrArea) , HSA_HH_EU_NL , EUxGB WS CVV (FlrArea) ," 934,560 "," 2,355,659 "," 220,497 "," 799,242 "," 1,490,134 "," 2,647,491 "," 3,198,032 "," 5,733,354 "," 9,590,004 "," 14,441,149 "," 16,183,430 "," 22,012,076 "," 28,177,829 "," 59,646,055 "," 407,723 "," 1,194,133 "," 2,058,577 "," 3,374,287 "," 3,962,868 "," 6,576,372 "," 10,495,189 "," 15,423,049 "," 17,191,618 "," 23,085,333 "," 29,322,388 "," 60,933,739 "
289, HSA_HH_EU_IE-GB FL , HSA_HH_EU_IE , GB FL , 227 ," 11,685 ",                       -   ,                       -   ,                         -   , -   , -   , 1 , 4 , 580 ," 1,427 "," 9,389 "," 30,517 "," 543,302 ",                       -   ,                         -   ,                         -   , 4 , 7 , 21 , 48 , 583 ," 1,431 "," 9,401 "," 30,548 "," 543,639 "
290, HSA_HH_EU_BE-EU FL HD , HSA_HH_EU_BE , EU FL HD ," 212,577 "," 1,135,425 ", -   ," 40,011 "," 289,481 "," 861,512 "," 1,119,631 "," 2,437,965 "," 4,810,780 "," 7,410,876 "," 8,328,057 "," 10,941,274 "," 14,555,307 "," 27,174,795 ",                       -   ," 41,473 "," 304,681 "," 903,898 "," 1,177,807 "," 2,539,400 "," 4,919,949 "," 7,607,884 "," 8,528,686 "," 11,232,342 "," 14,895,453 "," 27,513,164 "
291, HSA_HH_EU_NL-GB FL HD , HSA_HH_EU_NL , GB FL HD ," 5,766 "," 44,171 ", -   , -   , -   ," 16,023 "," 29,206 "," 79,655 "," 137,737 "," 211,165 "," 248,317 "," 390,563 "," 628,198 "," 1,347,149 ",                       -   ,                         -   ,                         -   ," 16,135 "," 29,609 "," 80,922 "," 140,027 "," 216,537 "," 255,759 "," 396,681 "," 642,727 "," 1,382,869 "
292, HSA_HH_EU_IE-GB WSSS (FlrArea) , HSA_HH_EU_IE , GB WSSS (FlrArea) ," 4,841 "," 20,511 ", 303 ," 3,328 "," 9,089 "," 18,991 "," 23,224 "," 40,701 "," 67,717 "," 109,436 "," 126,674 "," 192,151 "," 273,518 "," 620,877 ", 682 ," 4,203 "," 10,630 "," 21,335 "," 25,846 "," 44,200 "," 71,993 "," 114,228 "," 131,605 "," 197,397 "," 279,114 "," 627,582 "
293, HSA_HH_EU_NL-EUxESGB EQ Adj , HSA_HH_EU_NL , EUxESGB EQ Adj ," 208,721 "," 3,344,970 ",                       -   , 471 ," 20,972 "," 192,662 "," 346,678 "," 1,586,024 "," 4,326,692 "," 8,488,083 "," 10,076,841 "," 16,371,411 "," 26,717,043 "," 153,665,998 ",                       -   ," 7,144 "," 25,552 "," 199,029 "," 355,624 "," 1,609,423 "," 4,375,386 "," 8,571,159 "," 10,172,686 "," 16,515,654 "," 26,892,289 "," 153,892,978 "
294, HSA_HH_EU_NL-GB FL , HSA_HH_EU_NL , GB FL ," 3,454 "," 53,298 ",                       -   , 1 , 3 , 34 , 263 ," 10,414 "," 67,434 "," 156,180 "," 202,756 "," 387,223 "," 676,941 "," 2,159,016 ",                       -   , 23 , 88 , 237 , 337 ," 10,489 "," 67,768 "," 157,282 "," 203,953 "," 389,132 "," 679,491 "," 2,163,632 "
295, HSA_FA_EU_DE-GB WSSS , HSA_FA_EU_DE , GB WSSS , 548 ," 3,091 ", 15 , 292 , 869 ," 2,002 "," 2,553 "," 5,078 "," 9,021 "," 14,585 "," 16,785 "," 25,210 "," 36,714 "," 107,251 ", 82 , 384 ," 1,022 "," 2,237 "," 2,815 "," 5,424 "," 9,449 "," 15,094 "," 17,319 "," 25,811 "," 37,365 "," 107,996 "
