ID, Segment , LOB , RegionPeril , AAL , STD ,OEP_2,OEP_5,OEP_10,OEP_20,OEP_25,OEP_50,OEP_100,OEP_200,OEP_250,OEP_500,OEP_1000,OEP_10000,AEP_2,AEP_5,AEP_10,AEP_20,AEP_25,AEP_50,AEP_100,AEP_200,AEP_250,AEP_500,AEP_1000,AEP_10000
385, HSA_FA_EU_IE-EUxGB WS , HSA_FA_EU_IE , EUxGB WS ," 14,667 "," 29,835 "," 3,560 "," 13,524 "," 26,206 "," 43,525 "," 50,219 "," 75,396 "," 109,389 "," 155,494 "," 173,359 "," 238,884 "," 320,323 "," 741,601 "," 7,118 "," 20,459 "," 35,707 "," 55,537 "," 63,008 "," 90,385 "," 126,041 "," 173,051 "," 191,070 "," 256,934 "," 338,534 "," 761,238 "
386, HSA_FA_EU_PT-EUxGB WS , HSA_FA_EU_PT , EUxGB WS , 39 , 415 , -   , 15 , 54 , 124 , 154 , 281 , 496 , 935 ," 1,168 "," 2,320 "," 4,312 "," 17,845 ", 9 , 24 , 66 , 140 , 172 , 305 , 526 , 969 ," 1,203 "," 2,356 "," 4,352 "," 17,899 "
387, HSA_HH_EU_BE-GB WSSS , HSA_HH_EU_BE , GB WSSS ," 2,978 "," 12,056 ", 147 ," 2,034 "," 5,665 "," 12,376 "," 15,345 "," 27,310 "," 43,918 "," 66,174 "," 74,755 "," 106,521 "," 147,021 "," 354,217 ", 394 ," 2,556 "," 6,606 "," 13,819 "," 16,954 "," 29,444 "," 46,564 "," 69,261 "," 77,962 "," 110,049 "," 150,743 "," 358,548 "
388, HSA_HH_EU_ES-EUxESGB EQ , HSA_HH_EU_ES , EUxESGB EQ ," 7,572 "," 122,580 ",                       -   ,                       -   ,                         -   ,                         -   , 2 ," 2,454 "," 67,269 "," 342,783 "," 490,464 "," 1,100,709 "," 1,918,644 "," 4,791,377 ",                       -   ,                         -   ,                         -   ,                         -   , 30 ," 2,460 "," 67,445 "," 343,698 "," 491,736 "," 1,103,493 "," 1,923,348 "," 4,803,606 "
389, HSA_HH_EU_ES-EUxGB WS CVV (FlrArea) , HSA_HH_EU_ES , EUxGB WS CVV (FlrArea) ," 1,922 "," 8,652 ", 16 , 876 ," 3,327 "," 8,422 "," 10,767 "," 20,513 "," 34,235 "," 52,089 "," 58,718 "," 81,994 "," 109,277 "," 229,508 ", 240 ," 1,151 "," 3,799 "," 9,193 "," 11,648 "," 21,756 "," 35,840 "," 54,019 "," 60,752 "," 84,296 "," 111,786 "," 232,497 "
390, HSA_HH_EU_FR-GB WSSS (FlrArea) , HSA_HH_EU_FR , GB WSSS (FlrArea) ," 1,034 "," 6,676 ", 2 , 317 ," 1,392 "," 3,952 "," 5,217 "," 10,640 "," 18,617 "," 30,163 "," 34,944 "," 54,523 "," 83,303 "," 242,897 ", 129 , 447 ," 1,599 "," 4,289 "," 5,603 "," 11,198 "," 19,367 "," 31,099 "," 35,939 "," 55,640 "," 84,494 "," 244,457 "
391, S33_FA_EU_ES-EUxGB WS CVV , S33_FA_EU_ES , EUxGB WS CVV , 2 , 28 , -   , -   , 2 , 7 , 9 , 19 , 34 , 62 , 75 , 133 , 227 ," 1,077 ", 1 , 1 , 3 , 8 , 10 , 20 , 36 , 64 , 77 , 135 , 229 ," 1,081 "
392, S33_FA_EU_FR-EUxGB WS CVV , S33_FA_EU_FR , EUxGB WS CVV , 853 ," 5,762 ", 109 , 424 , 877 ," 1,881 "," 2,464 "," 5,822 "," 12,787 "," 24,414 "," 29,213 "," 47,453 "," 70,855 "," 194,729 ", 539 , 952 ," 1,497 "," 2,582 "," 3,184 "," 6,605 "," 13,651 "," 25,375 "," 30,206 "," 48,550 "," 72,060 "," 196,205 "
393, S33_FA_EU_NL-EUxESGB EQ , S33_FA_EU_NL , EUxESGB EQ ," 1,876 "," 77,185 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,113 "," 17,849 "," 29,996 "," 101,979 "," 277,954 "," 3,644,240 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ," 1,119 "," 17,876 "," 30,045 "," 102,147 "," 278,358 "," 3,645,873 "
394, S33_FA_EU_NL-EUxESGB EQ Adj , S33_FA_EU_NL , EUxESGB EQ Adj ," 1,241 "," 66,095 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 23 ," 3,873 "," 8,796 "," 50,002 "," 151,278 "," 2,797,643 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 147 ," 3,879 "," 8,806 "," 50,052 "," 151,440 "," 2,798,616 "
395, S33_FA_Lloyds-GB WSSS CVV , S33_FA_Lloyds , GB WSSS CVV ," 129,091 "," 814,412 "," 16,507 "," 64,996 "," 137,023 "," 263,534 "," 326,984 "," 700,147 "," 1,604,729 "," 2,920,451 "," 3,359,363 "," 4,756,366 "," 6,354,401 "," 35,229,686 "," 79,420 "," 142,795 "," 227,318 "," 367,666 "," 435,468 "," 818,299 "," 1,728,390 "," 3,052,999 "," 3,496,404 "," 4,907,913 "," 6,526,742 "," 35,425,003 "
396, S33_FA_UK-GB FL , S33_FA_UK , GB FL , 864 ," 21,704 ",                       -   ,                       -   ,                         -   , -   , 1 , 3 ," 2,415 "," 24,806 "," 38,851 "," 90,641 "," 207,058 "," 948,159 ",                       -   ,                         -   ,                         -   , 11 , 22 , 77 ," 2,421 "," 24,853 "," 38,927 "," 90,932 "," 207,425 "," 949,520 "
397, S33_HH_Lloyds-GB FL , S33_HH_Lloyds , GB FL ," 30,073 "," 277,539 ", 3 , 13 ," 2,620 "," 39,136 "," 73,182 "," 306,223 "," 754,855 "," 1,400,562 "," 1,669,485 "," 2,710,719 "," 4,045,749 "," 9,432,487 ", 416 , 936 ," 3,108 "," 40,196 "," 74,740 "," 310,712 "," 764,249 "," 1,416,754 "," 1,687,852 "," 2,735,076 "," 4,075,725 "," 9,477,860 "
398, S33_HH_Lloyds-GB WSSS (FlrArea) , S33_HH_Lloyds , GB WSSS (FlrArea) ," 34,978 "," 85,278 "," 6,856 "," 29,512 "," 59,726 "," 107,863 "," 129,157 "," 221,211 "," 356,945 "," 526,728 "," 586,487 "," 785,469 "," 1,005,336 "," 1,910,550 "," 12,865 "," 42,259 "," 78,398 "," 132,446 "," 155,450 "," 251,688 "," 390,265 "," 562,715 "," 623,431 "," 825,547 "," 1,048,140 "," 1,960,465 "
399, S33_HH_UK-EU FL HD , S33_HH_UK , EU FL HD ," 4,258 "," 94,845 ", -   , -   , -   , -   , -   , 837 ," 96,008 "," 192,295 "," 215,890 "," 276,937 "," 409,415 "," 5,713,473 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 836 ," 96,449 "," 192,508 "," 216,151 "," 280,912 "," 415,022 "," 5,743,119 "
400, S33_HH_UK-EUxESGB EQ Adj , S33_HH_UK , EUxESGB EQ Adj ," 1,198 "," 23,417 ",                       -   ,                       -   ,                         -   , 2 , 11 ," 1,869 "," 14,703 "," 50,003 "," 67,396 "," 141,997 "," 250,488 "," 966,888 ",                       -   ,                         -   ,                         -   , 47 , 74 ," 1,879 "," 14,767 "," 50,199 "," 67,657 "," 142,489 "," 251,251 "," 968,684 "
401, S33_HH_UK-GB WSSS , S33_HH_UK , GB WSSS , 889 ," 5,426 ", 37 , 425 ," 1,156 "," 2,911 "," 3,880 "," 8,334 "," 15,182 "," 25,009 "," 28,963 "," 44,403 "," 65,897 "," 192,624 ", 134 , 574 ," 1,398 "," 3,262 "," 4,262 "," 8,836 "," 15,823 "," 25,792 "," 29,787 "," 45,346 "," 66,913 "," 193,856 "
402, S3624_COMM_EU_DE-EUxESGB EQ , S3624_COMM_EU_DE , EUxESGB EQ ," 1,295 "," 43,143 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   , 1 , 333 ," 10,020 "," 19,688 "," 97,702 "," 299,604 "," 2,090,174 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 26 , 338 ," 10,034 "," 19,714 "," 97,818 "," 299,915 "," 2,091,710 "
403, S3624_COMM_EU_DE-EUxESGB EQ Adj , S3624_COMM_EU_DE , EUxESGB EQ Adj , 566 ," 29,502 ",                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   , 1 , 152 , 754 ," 13,685 "," 72,851 "," 1,278,253 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 26 , 160 , 756 ," 13,693 "," 72,894 "," 1,278,763 "
404, S3624_COMM_UK-EUxESGB EQ Adj , S3624_COMM_UK , EUxESGB EQ Adj , 16 , 920 ,                       -   ,                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , -   , -   , 114 ," 1,545 "," 39,939 ",                       -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   ,                         -   , 1 , 2 , 114 ," 1,546 "," 39,963 "
405, S3624_COMM_UK-GB WSSS , S3624_COMM_UK , GB WSSS , 18 , 293 , -   , -   , -   , 5 , 14 , 100 , 334 , 780 , 981 ," 1,835 "," 3,127 "," 12,123 ", 5 , 7 , 9 , 12 , 19 , 106 , 341 , 790 , 993 ," 1,850 "," 3,146 "," 12,156 "
407, MGA_Pen-GB WSSS wPLA CVV , MGA_Pen , GB WSSS CVV ," 1,286,907 "," 2,778,734 "," 281,023 "," 943,208 "," 1,853,909 "," 3,604,868 "," 4,536,073 "," 7,980,165 "," 12,745,307 "," 18,781,990 "," 20,752,847 "," 26,476,186 "," 31,840,794 "," 46,491,363 "," 553,220 "," 1,480,140 "," 2,591,532 "," 4,531,806 "," 5,474,969 "," 9,042,516 "," 13,950,470 "," 20,056,700 "," 22,046,783 "," 27,881,843 "," 33,379,741 "," 48,666,713 "
408, MGA_Caravans-GB WSSS wPLA CVV , MGA_Caravans , GB WSSS CVV ," 1,402,531 "," 5,065,819 "," 183,095 "," 758,225 "," 1,704,511 "," 3,415,845 "," 4,413,991 "," 11,153,392 "," 26,664,874 "," 40,451,335 "," 43,722,542 "," 54,260,974 "," 62,074,089 "," 87,056,500 "," 365,484 "," 1,124,687 "," 2,216,748 "," 4,121,262 "," 5,195,211 "," 11,948,056 "," 27,668,234 "," 41,528,088 "," 44,934,106 "," 55,618,525 "," 63,683,697 "," 90,541,910 "
409, MGA_Cherish-GB WSSS wPLA CVV , MGA_Cherish , GB WSSS CVV ," 1,921,216 "," 3,595,942 "," 452,873 "," 1,434,949 "," 2,791,319 "," 5,068,746 "," 6,156,729 "," 10,868,682 "," 16,802,309 "," 23,304,191 "," 25,480,972 "," 32,303,449 "," 38,933,088 "," 57,495,896 "," 922,235 "," 2,329,624 "," 3,974,668 "," 6,537,058 "," 7,690,163 "," 12,526,875 "," 18,608,728 "," 25,298,236 "," 27,530,781 "," 34,507,844 "," 41,285,627 "," 60,679,698 "
410, MGA_Cherish-GB FL HD , MGA_Cherish , GB FL HD ," 1,433,396 "," 3,091,734 "," 308,938 "," 1,588,566 "," 3,062,575 "," 5,125,359 "," 5,910,116 "," 8,902,583 "," 12,876,014 "," 17,890,265 "," 19,780,568 "," 25,840,837 "," 32,259,360 "," 60,473,222 "," 385,827 "," 1,986,246 "," 3,800,895 "," 6,132,172 "," 7,012,892 "," 10,227,853 "," 14,437,106 "," 19,524,244 "," 21,406,860 "," 27,439,064 "," 34,165,500 "," 62,248,301 "
411, MGA_Caravans-GB FL HD , MGA_Caravans , GB FL HD ," 327,461 "," 1,415,241 "," 16,288 "," 161,336 "," 479,691 "," 1,101,888 "," 1,411,196 "," 3,679,756 "," 7,202,758 "," 10,165,204 "," 11,137,128 "," 13,686,581 "," 16,348,471 "," 31,581,374 "," 17,920 "," 187,715 "," 542,220 "," 1,205,060 "," 1,536,359 "," 3,837,902 "," 7,380,245 "," 10,362,224 "," 11,333,711 "," 14,010,611 "," 16,753,664 "," 32,199,546 "
412, MGA_Pen-GB FL HD , MGA_Pen , GB FL HD ," 396,143 "," 1,047,019 "," 78,729 "," 362,106 "," 782,627 "," 1,400,285 "," 1,678,760 "," 2,731,493 "," 4,170,733 "," 6,219,459 "," 7,002,772 "," 9,331,836 "," 12,163,602 "," 23,606,119 "," 101,329 "," 469,048 "," 951,922 "," 1,660,385 "," 1,944,596 "," 3,063,861 "," 4,546,033 "," 6,683,405 "," 7,372,493 "," 9,903,722 "," 13,029,410 "," 28,398,181 "
413, MGA_Cherish-GB WSSS wPLA , MGA_Cherish , GB WSSS ," 2,592,816 "," 3,789,953 "," 745,032 "," 1,933,349 "," 3,366,355 "," 5,653,085 "," 6,729,765 "," 11,296,986 "," 16,952,711 "," 23,339,608 "," 25,501,459 "," 32,306,460 "," 38,933,406 "," 57,495,897 "," 1,556,328 "," 3,422,642 "," 5,278,474 "," 7,935,061 "," 9,080,528 "," 13,728,527 "," 19,542,393 "," 26,109,149 "," 28,322,620 "," 35,271,208 "," 42,041,806 "," 61,465,360 "
414, MGA_Caravans-GB WSSS wPLA , MGA_Caravans , GB WSSS ," 1,820,022 "," 5,400,031 "," 354,025 "," 1,120,076 "," 2,075,215 "," 3,767,532 "," 4,879,050 "," 12,023,913 "," 29,959,142 "," 44,282,604 "," 47,260,660 "," 55,443,962 "," 62,416,916 "," 87,057,447 "," 691,112 "," 1,780,753 "," 2,974,204 "," 4,958,409 "," 6,141,862 "," 13,226,172 "," 31,256,912 "," 45,700,211 "," 48,765,554 "," 57,234,711 "," 64,589,951 "," 91,673,280 "
415, MGA_Pen-GB WSSS wPLA , MGA_Pen , GB WSSS ," 1,719,123 "," 2,913,379 "," 474,012 "," 1,291,154 "," 2,293,322 "," 4,071,851 "," 4,970,927 "," 8,434,918 "," 13,010,159 "," 18,860,465 "," 20,806,748 "," 26,488,107 "," 31,842,042 "," 46,491,363 "," 944,134 "," 2,192,043 "," 3,486,941 "," 5,505,403 "," 6,421,434 "," 9,979,783 "," 14,713,229 "," 20,626,755 "," 22,584,023 "," 28,380,584 "," 33,869,665 "," 49,181,355 "
416, MGA_Cherish-GB FL , MGA_Cherish , GB FL ," 1,014,398 "," 2,193,168 "," 244,424 "," 1,138,724 "," 2,134,979 "," 3,520,129 "," 4,070,929 "," 6,092,777 "," 8,740,543 "," 12,323,512 "," 13,719,155 "," 18,621,479 "," 23,825,797 "," 43,063,064 "," 288,143 "," 1,437,000 "," 2,661,331 "," 4,263,548 "," 4,871,496 "," 7,060,129 "," 9,856,255 "," 13,521,539 "," 14,926,235 "," 19,815,782 "," 25,058,378 "," 44,497,332 "
417, MGA_Caravans-GB FL , MGA_Caravans , GB FL ," 214,703 "," 701,019 "," 7,738 "," 171,153 "," 391,417 "," 746,675 "," 937,241 "," 2,824,343 "," 4,040,618 "," 4,839,768 "," 5,069,399 "," 5,762,961 "," 6,468,554 "," 9,423,876 "," 8,543 "," 194,446 "," 447,992 "," 848,941 "," 1,057,801 "," 2,929,852 "," 4,178,666 "," 5,024,401 "," 5,273,270 "," 6,043,791 "," 6,876,034 "," 10,195,736 "
418, MGA_Pen-GB FL , MGA_Pen , GB FL ," 387,948 "," 823,651 "," 90,525 "," 440,392 "," 839,060 "," 1,351,575 "," 1,545,595 "," 2,260,754 "," 3,214,888 "," 4,540,583 "," 5,056,207 "," 6,851,334 "," 8,871,703 "," 16,529,869 "," 110,441 "," 555,036 "," 1,037,369 "," 1,634,631 "," 1,854,427 "," 2,643,356 "," 3,655,138 "," 5,004,557 "," 5,519,315 "," 7,314,682 "," 9,346,556 "," 17,043,331 "
