ModelEventID,OccYear,Factor
410007178,544,1
410007206,546,1
410007298,553,1
410008357,634,1
410054453,4115,1
410054694,4133,1
410054798,4141,1
410053572,4050,1
410053943,4078,1
410109376,8235,1
410111548,8394,1
410113511,8539,0
410113768,8560,1
410114110,8585,1
410114688,8630,1
410115558,8696,1
410116159,8740,1
410116644,8777,1
410077490,5860,1
410077594,5868,1
410077608,5869,1
410077659,5872,1
410009805,744,1
410010229,778,1
410010744,816,1
410012688,969,1
410012759,976,1
410013631,1045,1
410014020,1076,1
410013973,1073,1
410014920,1145,1
410015627,1200,1
410016137,1240,1
410016275,1251,1
410019040,1462,1
410019559,1500,1
410103949,7834,1
410104178,7850,1
410104352,7860,1
410104625,7880,1
410105280,7927,1
410105534,7948,1
410105619,7956,1
410106131,7994,1
410106243,8005,1
410106615,8031,1
410106729,8037,1
410106735,8038,1
410107197,8074,1
410108113,8138,1
410108241,8149,1
410108446,8165,1
410108739,8189,1
410110011,8281,1
410000544,45,1
410000891,70,0
410001286,98,0
410002349,174,1
410032999,2510,0
410037086,2811,0
410037355,2832,0
410038634,2932,0
410038840,2949,0
410039932,3028,0
410040284,3054,1
410040813,3092,1
410040839,3094,0
410041148,3117,0
410042191,3195,0
410042242,3198,0
410042498,3216,0
410042986,3252,1
410043605,3297,1
410044774,3384,0
410045059,3407,1
410045496,3439,1
410045626,3448,1
410045799,3461,0
410046313,3500,1
410052198,3948,1
410052566,3977,1
410053325,4035,1
410053478,4045,1
410119210,8969,1
410119539,8993,1
410120447,9060,1
410121151,9112,1
410121688,9151,1
410121818,9161,1
410122288,9196,1
410122585,9219,1
410122892,9241,1
410123407,9281,1
410124426,9356,1
410124775,9384,1
410125287,9420,1
410125304,9422,1
410040349,3058,1
410040805,3092,1
410041261,3126,1
410041408,3135,1
410041416,3136,1
410041920,3173,1
410042020,3181,1
410042166,3194,1
410042724,3233,1
410043596,3296,1
410043661,3301,1
410089044,6730,1
410089507,6766,1
410089573,6770,1
410089632,6774,1
410091586,6912,1
410091593,6913,1
410091623,6915,1
410092636,6992,1
410093961,7089,1
410095252,7186,1
410088589,6695,1
410000531,44,1
410001485,114,1
410002539,186,1
410116903,8796,1
410117151,8817,1
410117540,8848,1
410117795,8866,1
410118139,8890,1
410118320,8904,1
410072653,5499,1
410073632,5572,1
410074011,5600,1
410074316,5624,1
410074361,5626,1
410074674,5650,1
410090846,6861,1
410067465,5097,1
410020740,1586,1
410020851,1594,1
410021250,1623,1
410021525,1647,1
410021627,1654,1
410022321,1704,1
410022825,1745,1
410023151,1769,1
410023342,1785,1
410025292,1929,1
410025550,1949,1
410025635,1955,1
410025765,1965,1
410025879,1975,1
410026045,1986,1
410026543,2023,1
410088315,6673,1
410089380,6757,1
410090344,6828,1
410049974,3779,0
410050060,3785,1
410052834,4000,1
410053356,4036,1
410007185,544,1
410008256,626,1
410008521,646,1
410009487,719,1
410009604,727,1
410009778,741,1
410010434,793,1
410010537,800,1
410010761,817,0
410010772,818,1
410070401,5320,1
410071317,5393,1
410071343,5395,1
410072308,5473,1
410072596,5495,1
410073743,5580,1
410115319,8678,1
410115380,8683,1
410115388,8684,1
410116303,8752,1
410117706,8861,1
410117978,8879,1
410118895,8945,1
410118929,8947,1
410119243,8971,1
410119388,8980,1
410119582,8995,1
410004836,367,1
410006656,505,1
410007586,575,1
410008361,634,1
410008665,656,1
410008735,662,1
410010164,771,1
410010565,802,1
410010785,819,1
410010819,821,1
410011597,883,1
410068085,5140,1
410068290,5157,1
410068522,5175,1
410069672,5263,1
410071489,5405,1
410032793,2493,1
410034386,2614,1
410034740,2639,1
410051450,3889,1
410052281,3956,1
410052469,3970,1
410052975,4010,1
410053226,4028,1
410031395,2389,1
410031481,2394,1
410012248,934,1
410012616,964,1
410012650,966,1
410013060,998,1
410013302,1019,1
410032134,2443,1
410033232,2527,1
410034280,2606,1
410034392,2614,1
410035149,2671,1
410050367,3806,1
410051751,3911,1
410051900,3923,1
410052362,3963,1
410052402,3966,1
410054302,4105,1
410055357,4181,1
410056515,4265,1
410058849,4446,1
410059465,4491,1
410060165,4543,1
410045419,3433,1
410045471,3437,1
410045944,3472,1
410046157,3487,1
410046666,3526,1
410046810,3537,1
410046914,3545,1
410047688,3603,1
410049395,3733,1
410050155,3793,1
410050576,3824,1
410050798,3841,1
410051325,3881,1
410051502,3893,1
410051832,3918,1
410052804,3997,1
410053371,4036,1
410053686,4059,1
410054053,4086,1
410004389,333,1
410005129,389,1
410006117,465,1
410007246,549,1
410007528,571,1
410008260,627,1
410072825,5511,1
410075593,5720,1
410076891,5816,1
410076918,5819,1
410077887,5891,1
410124296,9348,1
410124436,9356,1
410083314,6303,1
410083868,6345,1
410084634,6399,1
410085025,6427,1
410085504,6465,1
410085992,6503,1
410086481,6539,1
410087118,6585,1
410087339,6601,1
410087485,6612,1
410087843,6639,1
410087963,6648,1
410088156,6662,1
410088326,6674,1
410089008,6727,1
410089334,6754,1
410089547,6768,1
410089732,6782,1
410089985,6801,1
410090218,6819,1
410090495,6837,1
410090741,6854,1
410007601,575,1
410008510,645,1
410118096,8888,1
410118999,8952,1
410119370,8979,1
410017339,1335,1
410017851,1375,1
410018035,1388,1
410018147,1397,1
410018155,1397,1
410000410,32,0
410000241,19,0
410002388,177,1
410003189,238,0
410004112,309,1
410005285,400,1
410128244,9636,1
410128531,9657,1
410129161,9702,1
410130357,9791,1
410130886,9832,1
410131644,9886,1
410132193,9925,1
410098953,7465,1
410099063,7471,1
410099846,7534,1
410099957,7541,1
410100922,7612,1
410101967,7692,1
410102079,7700,1
410102207,7711,1
410102959,7763,1
410103712,7816,1
410105126,7915,1
410105790,7967,1
410107477,8094,1
410107483,8095,1
410107819,8118,1
410108738,8188,1
410109141,8217,1
410109159,8219,1
410109529,8247,1
410109896,8272,1
410111669,8404,1
410111713,8408,1
410111841,8416,1
410111943,8424,1
410113327,8526,1
410007339,557,1
410007611,576,1
410007933,600,1
410008944,678,1
410009492,719,1
410010067,763,1
410010657,810,1
410011246,856,1
410011364,865,1
410011436,870,1
410012479,955,1
410012495,955,1
410013944,1071,1
410014438,1106,1
410014808,1135,1
410015345,1177,1
410015555,1194,1
410016401,1260,1
410016930,1302,1
410017092,1315,1
410018199,1400,1
410018364,1413,1
410018742,1439,1
410018988,1458,1
410064728,4892,1
410065025,4915,1
410065119,4921,1
410066603,5032,1
410067132,5073,1
410068350,5161,1
410068365,5163,1
410068515,5175,1
410069617,5259,1
410071761,5429,1
410072812,5510,1
410030313,2305,1
410032018,2434,1
410033164,2522,1
410034412,2616,1
410035503,2697,1
410037171,2818,1
410037488,2844,1
410037946,2881,1
410038241,2905,0
410038602,2929,1
410090767,6856,1
410090899,6864,1
410091221,6888,1
410092464,6978,1
410092830,7005,1
410093335,7042,1
410093587,7062,1
410094702,7144,1
410094897,7159,1
410095203,7183,1
410095297,7190,1
410095361,7194,1
410095627,7214,1
410055529,4194,1
410058221,4396,1
410058230,4398,1
410058920,4450,1
410059390,4485,1
410060399,4561,1
410061406,4638,1
410062275,4708,1
410062384,4716,1
410062812,4749,1
410064234,4853,1
410064271,4857,1
410065518,4949,1
410066107,4993,1
410003738,280,1
410004034,303,1
410004430,335,1
410004819,366,1
410004956,376,1
410005069,385,1
410005454,413,1
410007842,594,1
410008563,649,1
410106001,7983,1
410107994,8130,1
410108129,8140,1
410108320,8155,1
410121189,9115,1
410121197,9115,1
410121551,9142,1
410121805,9161,1
410128354,9643,1
410129383,9718,1
410130676,9815,1
410130855,9829,1
410131300,9861,1
410065441,4945,1
410066485,5023,1
410067780,5120,1
410054095,4088,1
410054425,4113,1
410055694,4209,1
410056049,4232,1
410056113,4236,1
410056217,4245,0
410056440,4261,1
410057090,4310,1
410057753,4361,1
410015682,1204,1
410016520,1270,1
410017568,1353,1
410110189,8294,1
410110365,8305,1
410111148,8364,1
410111862,8418,1
410111983,8427,1
410112345,8454,1
410112500,8465,1
410114164,8588,1
410114284,8596,1
410115174,8665,1
410115267,8673,1
410116266,8748,1
410116846,8793,1
410117208,8821,1
410118489,8916,1
410119360,8978,1
410120421,9058,1
410120505,9065,1
410120859,9090,1
410121611,9146,1
410121787,9159,1
410122945,9245,1
410124532,9365,1
410125821,9459,1
410125984,9470,1
410126148,9485,1
410109928,8275,1
410111593,8399,1
410113748,8558,1
410114670,8628,1
410116315,8752,1
410118568,8922,1
410119313,8975,1
410121113,9110,1
410121404,9132,1
410121448,9135,1
410121676,9150,1
410122040,9180,1
410122168,9188,1
410122573,9218,1
410123846,9313,1
410123981,9323,1
410124199,9341,1
410125583,9442,1
410012788,979,1
410013264,1016,1
410013685,1050,1
410013745,1054,1
410013807,1060,1
410014510,1112,1
410014511,1112,1
410014725,1129,1
410015369,1179,1
410015436,1184,1
410018154,1397,1
410019666,1509,1
410019984,1533,1
410020118,1543,1
410020456,1567,1
410020698,1584,1
410086170,6517,1
410086899,6570,1
410087336,6601,1
410088015,6652,1
410088290,6670,1
410088549,6692,1
410091678,6919,1
410091683,6920,1
410091754,6926,1
410091907,6938,1
410091941,6940,1
410092428,6976,1
410092887,7009,1
410093411,7047,1
410093696,7070,1
410095304,7190,1
410095460,7202,1
410010903,828,1
410011847,903,1
410047307,3574,1
410047681,3602,1
410047878,3617,1
410047916,3619,1
410048106,3633,1
410048238,3644,1
410049092,3710,1
410049118,3711,1
410049213,3718,1
410049769,3763,1
410050087,3787,1
410050230,3798,1
410050285,3801,1
410050307,3802,1
410050460,3814,1
410050725,3834,1
410000106,10,1
410001667,126,1
410004076,307,1
410004087,307,1
410005340,405,1
410006241,473,1
410006718,508,1
410007438,565,1
410010101,766,1
410010859,824,1
410011222,854,1
410012458,953,1
410012460,953,1
410012655,967,1
410013281,1018,1
410063970,4834,1
410064208,4851,1
410065172,4924,1
410049208,3718,1
410049263,3722,1
410038903,2952,1
410038972,2957,1
410039185,2976,1
410039616,3005,1
410039868,3023,1
410039894,3025,1
410039945,3028,1
410040335,3056,1
410020690,1584,1
410020778,1589,1
410020780,1589,1
410020974,1602,1
410021753,1661,1
410021765,1663,1
410022583,1726,1
410023521,1798,1
410025823,1971,1
410026430,2015,1
410027401,2091,1
410027824,2118,1
410028699,2183,1
410028765,2188,1
410029574,2249,1
410029965,2278,1
410081819,6185,1
410082022,6201,1
410082107,6206,1
410082211,6215,1
410082245,6217,1
410082368,6228,1
410082415,6232,1
410082842,6265,1
410083729,6332,1
410084458,6385,1
410084569,6393,1
410121923,9170,1
410123543,9290,1
410123973,9322,1
410125021,9400,1
410125207,9415,1
410126316,9496,1
410126520,9511,1
410126720,9527,1
410126926,9540,1
410127603,9592,1
410127663,9597,1
410128833,9677,1
410129190,9705,1
410129221,9707,1
410129701,9741,1
410130152,9776,1
410130250,9783,1
410130326,9789,1
410130381,9793,1
410130761,9823,1
410131203,9854,1
410131454,9871,1
410029274,2226,1
410029437,2240,1
410030075,2287,1
410030890,2349,1
410081779,6182,1
410010420,792,1
410011095,844,1
410011149,850,1
410011182,851,1
410011553,880,1
410011820,901,1
