Analysis,ExposureAttribute,CatalogTypeCode,EventID,ModelCode,YearID,PerilSetCode,GroundUpLoss,GrossLoss,NetOfPreCatLoss
EU_WS,S33_HH_Lloyds,HIST    ,11,41,7,1,763.246441001377,749.925773181664,749.925773181664
EU_WS,HSA_HH_UK,HIST    ,23,41,15,1,207.581440892222,195.475930998613,195.475930998613
EU_WS,HSA_HH_UK,HIST    ,30,41,21,1,1332.87324273733,1299.991535965,1299.991535965
EU_WS,HSA_HH_EU_BE,HIST    ,28,41,19,1,134357.927377268,132238.826148901,132238.826148901
EU_WS,S33_HH_Lloyds,HIST    ,35,41,23,1,1562.21245430079,1533.35997712054,1533.35997712054
EU_WS,HSA_HH_EU_BE,RDS     ,4,41,130,1,189713.162158385,187393.186240014,187393.186240014
EU_WS,HSA_HH_EU_NL,HIST    ,9,41,6,1,314472.355146669,307910.505700528,307910.505700528
EU_WS,S33_HH_EU_DE,HIST    ,15,41,9,1,5174.20520696167,5124.04723560077,5124.04723560077
EU_WS,S33_HH_EU_NL,HIST    ,9,41,6,1,133.73128108901,131.786946623351,131.786946623351
EU_WS,HIG_HH_GU,RDS     ,6,41,132,1,47863.0448637924,21357.4736631713,21357.3736086202
EU_WS,HIG_HH_GU,HIST    ,32,41,21,1,709.884870337053,390.363326131857,390.363326131857
EU_WS,HSA_HH_EU_FR,RDS     ,2,41,128,1,26224927.698458,25893691.5614064,25769853.3356049
EU_WS,S33_HH_EU_DE,RDS     ,3,41,129,1,3798.62222533979,3707.19028247949,3707.19028247949
EU_WS,S33_HH_Lloyds,RDS     ,3,41,129,1,18819.9722772786,18700.4659727579,18700.4659727579
EU_WS,S33_HH_EU_NL,RDS     ,4,41,130,1,2606.02749917388,2417.94670201367,2417.94670201367
EU_WS,HSA_COMM_EU_IE,RDS     ,5,41,131,1,11885.602088143,11508.3745811595,11508.3745811595
EU_WS,HSA_COMM_EU_IE,HIST    ,7,41,6,1,11.1851535045493,9.44249229925375,9.44249229925375
EU_WS,HSA_COMM_EU_FR,HIST    ,31,41,21,1,80.423847942903,78.9614193884798,78.9614193884798
EU_WS,S33_HH_EU_NL,HIST    ,15,41,9,1,507.285006008673,494.687565833967,494.687565833967
EU_WS,HSA_HH_EU_ES,HIST    ,35,41,23,1,15.9599999884346,15.6966722939511,15.6966722939511
EU_WS,HSA_COMM_EU_IE,HIST    ,37,41,23,1,721.415834644836,709.250275952602,709.250275952602
